language	glottocode	id_word	id_meaning	lemma	ipa	definition	morphology	annotator	pos	reference	meaning_ru	meaning	noun_class	dialect	examples
Khwarshi	khva1239	8	11	АБАХА́РЛЪ/И	ʔ-a-b-a-χ-'a-r-ɬ-i	IV (-и́) 1) соседство 2) соседи	IV (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	соседи	соседи			
Khwarshi	khva1239	9	12	АБАХА́РЛIИЛЕ	ʔ-a-b-a-χ-'a-r-tɬ-i-l-e	нареч. по соседству, в соседстве; илло абахарлIиле чачанийес гъиIне голи по соседству с нами живёт чеченка; абахарлIиле бог беча бувок с соседями надо жить дружно (в ладу); хварш. абахарлIел		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	по соседству	нареч. по соседству, в соседстве;		хваршинский	илло абахарлIиле чачанийес гъиIне голи по соседству с нами живёт чеченка; абахарлIиле бог беча бувок с соседями надо жить дружно (в ладу); хварш. абахарлIел
Khwarshi	khva1239	10	13	АБАХА́РЫС	ʔ-a-b-a-χ-'a-r-ɨ-s	1. ген. I от абаха́р 2. в знач. прил. соседский; абахарыс аᵸхъ соседский дом; дом соседа; иду абахарыс кIитI голи это соседская кошка (есть); абахарыс гъонобо лиже голи у соседа много деревьев растут		Jacob Lvovski	adjective	Dzhidalaev, Magomedova, Khalilov 2022	сосед	ген. I от абаха́р	I		
Khwarshi	khva1239	10	14	АБАХА́РЫС	ʔ-a-b-a-χ-'a-r-ɨ-s	1. ген. I от абаха́р 2. в знач. прил. соседский; абахарыс аᵸхъ соседский дом; дом соседа; иду абахарыс кIитI голи это соседская кошка (есть); абахарыс гъонобо лиже голи у соседа много деревьев растут		Jacob Lvovski	adjective	Dzhidalaev, Magomedova, Khalilov 2022	соседский	в знач. прил. соседский;	I		абахарыс аᵸхъ соседский дом; дом соседа; иду абахарыс кIитI голи это соседская кошка (есть); абахарыс гъонобо лиже голи у соседа много деревьев растут
Khwarshi	khva1239	11	15	АБАБа̄Й	ʔ-a-b-a-b-ā-j	вводн. сл. конечно; безусловно; аббаба̄й, до йотIокъ конечно, я приду (приеду); аббаба̄й, до бертино­кьол йотIōкъ конечно, я буду (приду) на свадьбе		Jacob Lvovski		Dzhidalaev, Magomedova, Khalilov 2022	конечно	вводн. сл. конечно;			безусловно; аббаба̄й, до йотIокъ конечно, я приду (приеду); аббаба̄й, до бертино­кьол йотIōкъ конечно, я буду (приду) на свадьбе
Khwarshi	khva1239	12	16	АББа̄Ба́Й	ʔ-a-b-b-ā-b-'a-j	межд. ах; ой (возглас, выражающий удивление); абба̄бай, осхъо! ах, как много денег! абба̄бай эᵸсоло йолнухъо! Ах, как идет снег		Jacob Lvovski	intj	Dzhidalaev, Magomedova, Khalilov 2022	ах	межд. ах;			ой (возглас, выражающий удивление); абба̄бай, осхъо! ах, как много денег! абба̄бай эᵸсоло йолнухъо! Ах, как идет снег
Khwarshi	khva1239	13	17	АБДА́	ʔ-a-b-d-'a	(абы́дше//абы́шше, абди́, аб­ды́н, аба̄д, а́бда) веять (зерновые на ветру); атI абда повеять пшеницу на ветру (с целью очищения от плевел и соломы для подготовки к помолу)	(абы́дше//абы́шше, абди́, аб­ды́н, аба̄д, а́бда)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	веять	(абы́дше//абы́шше, абди́, аб­ды́н, аба̄д, а́бда) веять (зерновые на ветру);	,		атI абда повеять пшеницу на ветру (с целью очищения от плевел и соломы для подготовки к помолу)
Khwarshi	khva1239	14	18	А(Б)Е	ʔ-a-b-e	частица указ. вот (указывает на объект, находящийся в непосредст­венной близости от 1-го лица); абе дийо аᵸлI вот моё село; айе мижо кад вот ваша дочь; аве дийо уже вот мой сын; аре дийо гъонобо вот мои деревья; абе абенду дийо голи оIмоIкъе вот такой мой осёл (есть); ср.: аве, айе, аре		Jacob Lvovski	pronoun	Dzhidalaev, Magomedova, Khalilov 2022	вот	;	,		абе дийо аᵸлI вот моё село; айе мижо кад вот ваша дочь; аве дийо уже вот мой сын; аре дийо гъонобо вот мои деревья; абе абенду дийо голи оIмоIкъе вот такой мой осёл (есть); ср.: аве, айе, аре
Khwarshi	khva1239	15	19	А(Б)Е́ДЕ	ʔ-a-b-'e-d-e	нареч. здесь; абеде илул бекол быси мы здесь обнаружили змею; до айеде къуду йеги я здесь упала; ср.:  аведе, айеде, ареде		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	здесь	нареч. здесь;			абеде илул бекол быси мы здесь обнаружили змею; до айеде къуду йеги я здесь упала; ср.:  аведе, айеде, ареде
Khwarshi	khva1239	16	20	А(Б)Е́ДЕЛ	ʔ-a-b-'e-d-e-l	нареч. сюда; абедел гьобо! идите сюда! ср.: аведел, айедел, аредел		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	сюда	нареч. сюда;			абедел гьобо! идите сюда! ср.: аведел, айедел, аредел
Khwarshi	khva1239	17	21	А(Б)Е́/ДУ	ʔ-a-b-'e-d-u	(эрг. -се, ген. I -со) указ. мест. этот, эта, это (рядом); аведу уже этот мальчик; айеду кад эта девочка; ареду рива это стадо; абеду гьеᵸше эта книга; авесе лигу гьимон лаквӣ? видел, что он натворил? авесе до хвассар йӣ он меня спас; ср.: аведу, айеду, ареду; хварш. авду, абду, айду; см. о(б)еду	(эрг. -се, ген. I -со)	Jacob Lvovski	pronoun	Dzhidalaev, Magomedova, Khalilov 2022	этот	указ. мест. этот, эта, это (рядом);	,	хваршинский	аведу уже этот мальчик; айеду кад эта девочка; ареду рива это стадо; абеду гьеᵸше эта книга; авесе лигу гьимон лаквӣ? видел, что он натворил? авесе до хвассар йӣ он меня спас; ср.: аведу, айеду, ареду; хварш. авду, абду, айду; см. о(б)еду
Khwarshi	khva1239	18	22	А(Б)ЕДУСО	ʔ-a-b-e-d-u-s-o	частица указ. вот (указывает на двух лиц или два предмета, находящихся на одной плоскости близко к собеседнику); дубо гьеᵸше абедусо голи вот (именно эта) твоя книга, а не та (другая); ср.: аведусо, айедусо, аре­дусо		Jacob Lvovski	pronoun	Dzhidalaev, Magomedova, Khalilov 2022	вот	частица указ. вот (указывает на двух лиц или два предмета, находящихся на одной плоскости близко к собеседнику);			дубо гьеᵸше абедусо голи вот (именно эта) твоя книга, а не та (другая); ср.: аведусо, айедусо, аре­дусо
Khwarshi	khva1239	19	23	А(Б)Е́ЛА	ʔ-a-b-'e-l-a	частица указ. вот (обращает внимание на человека или предмет, на­ходящийся непосредственно вблизи к     1-му лицу); абела дубо зийе вот твоя корова; абела йу гьеᵸше вот та книга; абела йу мокIо вот то место; ср.: авела, айела, арела		Jacob Lvovski	pronoun	Dzhidalaev, Magomedova, Khalilov 2022	вот	;			абела дубо зийе вот твоя корова; абела йу гьеᵸше вот та книга; абела йу мокIо вот то место; ср.: авела, айела, арела
Khwarshi	khva1239	20	24	А(Б)ЕТIУ́Н//А(Б)ТIУН	ʔ-a-b-e-t’-'u-n ʔ-a-b-t’-u-n	1. частица вот так; аветIун эча увок вот так надо стоять 2. нареч. так; ср.: аветIун, айетIун, аретIун; см. хварш. авна//авена		Jacob Lvovski	particle	Dzhidalaev, Magomedova, Khalilov 2022	вот так	частица вот так;			аветIун эча увок вот так надо стоять
Khwarshi	khva1239	20	25	А(Б)ЕТIУ́Н//А(Б)ТIУН	ʔ-a-b-e-t’-'u-n ʔ-a-b-t’-u-n	1. частица вот так; аветIун эча увок вот так надо стоять 2. нареч. так; ср.: аветIун, айетIун, аретIун; см. хварш. авна//авена		Jacob Lvovski	particle	Dzhidalaev, Magomedova, Khalilov 2022	так	нареч. так;		хваршинский	ср.: аветIун, айетIун, аретIун; см. хварш. авна//авена
Khwarshi	khva1239	21	26	А(Б)ЕТIУ́НУЧ//А(Б)ТIУНУЧ	ʔ-a-b-e-t’-'u-n-u-tʃʰ ʔ-a-b-t’-u-n-u-tʃʰ	нареч. 1) просто (т.е. пешком); йу аветIунуч эᵸкьи он просто так (т.е. пешком) пошел 2) даром (на за плату), бесплатно; ср.: аветIунуч, айетIунуч, аретIунуч		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	пешком	просто (т.е. пешком);			йу аветIунуч эᵸкьи он просто так (т.е. пешком) пошел
Khwarshi	khva1239	21	27	А(Б)ЕТIУ́НУЧ//А(Б)ТIУНУЧ	ʔ-a-b-e-t’-'u-n-u-tʃʰ ʔ-a-b-t’-u-n-u-tʃʰ	нареч. 1) просто (т.е. пешком); йу аветIунуч эᵸкьи он просто так (т.е. пешком) пошел 2) даром (на за плату), бесплатно; ср.: аветIунуч, айетIунуч, аретIунуч		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	бесплатно	даром (на за плату), бесплатно;			ср.: аветIунуч, айетIунуч, аретIунуч
Khwarshi	khva1239	22	28	А́БЖИДУ//А́БЕЖИДУ	ʔ-'a-b-ʒ-i-d-u ʔ-'a-b-e-ʒ-i-d-u	мест. указ. эти (рядом с кем-то)		Jacob Lvovski	pronoun	Dzhidalaev, Magomedova, Khalilov 2022	эти				
Khwarshi	khva1239	23	29	А́(Б)НА	ʔ-'a-b-n-a	1. частица вот так; авна эча уккойа вот так должен вести себя 2. нареч. так; йу авенач эйкьа он (просто) так пошел (хварш.); ср.: авна, айна, арна; ср.: инх. аветIун		Jacob Lvovski	particle	Dzhidalaev, Magomedova, Khalilov 2022	вот так	частица вот так;			авна эча уккойа вот так должен вести себя
Khwarshi	khva1239	23	30	А́(Б)НА	ʔ-'a-b-n-a	1. частица вот так; авна эча уккойа вот так должен вести себя 2. нареч. так; йу авенач эйкьа он (просто) так пошел (хварш.); ср.: авна, айна, арна; ср.: инх. аветIун		Jacob Lvovski	particle	Dzhidalaev, Magomedova, Khalilov 2022	так	нареч. так;		инхокваринский,хваршинский	йу авенач эйкьа он (просто) так пошел (хварш.); ср.: авна, айна, арна; ср.: инх. аветIун
Khwarshi	khva1239	24	31	А(Б)НА́Ч	ʔ-a-b-n-'a-tʃʰ	нареч. просто так; даром, бесплатно; иси арнач илIлIа он просто так дал; дили кунта абенач бахъехъа я платье получила просто так (даром); ср. авнач, айнач, арнач; см. хварш. тIенач		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	бесплатно	нареч. просто так;		хваршинский	даром, бесплатно; иси арнач илIлIа он просто так дал; дили кунта абенач бахъехъа я платье получила просто так (даром); ср. авнач, айнач, арнач; см. хварш. тIенач
Khwarshi	khva1239	25	32	АБДАКIАХКIА́	ʔ-a-b-d-a-k’-a-χ-k’-'a	(абдакIахы́кIше, абдахкIахкIи́, абдакIахкIы́н, абдакIахкIа̄й, а́бдакIахкIа) понуд. II от гл. абдахкIа́	(абдакIахы́кIше, абдахкIахкIи́, абдакIахкIы́н, абдакIахкIа̄й, а́бдакIахкIа)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	веять	(абдакIахы́кIше, абдахкIахкIи́, абдакIахкIы́н, абдакIахкIа̄й, а́бдакIахкIа) понуд. II от гл. абдахкIа́	I		
Khwarshi	khva1239	26	33	АБДАХКIА́	ʔ-a-b-d-a-χ-k’-'a	(абдахы́кIше, абдахкIи́, абдахкIы́н, абдахкIа̄й, а́бдахкIа) понуд. от гл. абда́	(абдахы́кIше, абдахкIи́, абдахкIы́н, абдахкIа̄й, а́бдахкIа)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	веять	(абдахы́кIше, абдахкIи́, абдахкIы́н, абдахкIа̄й, а́бдахкIа) понуд. от гл. абда́			
Khwarshi	khva1239	27	34	АБДАХЫ́КIНУ	ʔ-a-b-d-a-χ-'ɨ-k’-n-u	масд. от гл. абдахкIа́		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	веяние	масд. от гл. абдахкIа́			
Khwarshi	khva1239	28	35	АБТéК	ʔ-a-b-tʰé-kʰ	III (-ко́, -бо, -за́) аптека; ило къуIне абтек голи у нас (в селении) две аптеки (есть)	III (-ко́, -бо, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	аптека	аптека;	III		ило къуIне абтек голи у нас (в селении) две аптеки (есть)
Khwarshi	khva1239	29	36	АБТИКА́Р	ʔ-a-b-tʰ-i-kʰ-'a-r	I, II (-и́, -ба, -за́) аптекарь	II (-и́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	аптекарь	аптекарь	I, II		
Khwarshi	khva1239	30	37	АБТИКА́РЛЪ/И	ʔ-a-b-tʰ-i-kʰ-'a-r-ɬ-i	IV (-и́) работа (профессия, должность) аптекаря; абтекар­лъи лийа работать аптекарем	IV (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	аптекарство?	работа (профессия, должность) аптекаря;	IV		абтекар­лъи лийа работать аптекарем
Khwarshi	khva1239	31	38	АБХа́З	ʔ-a-b-χ-'a-z	I, II (-ело́, -ба, -за́) абхазец; абхазка; дигъол абхазийело гьамагъес кагъат ботIкъи я получил письмо от друга абхазца	II (-ело́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	абхазец	абхазец;	I, II		абхазка; дигъол абхазийело гьамагъес кагъат ботIкъи я получил письмо от друга абхазца
Khwarshi	khva1239	32	39	аА́ха́зийес	ʔ-a-'a-χ-'a-z-i-j-e-s	абхазский; абхазийес мыц абхазский язык; абхазийес гьикIо абхазец; абхазийес гъиIне  абхазка; абхазийес гьадам абхазцы		Jacob Lvovski		Dzhidalaev, Magomedova, Khalilov 2022	абхазский	абхазский;			абхазийес мыц абхазский язык; абхазийес гьикIо абхазец; абхазийес гъиIне  абхазка; абхазийес гьадам абхазцы
Khwarshi	khva1239	33	40	АБЫ́ДНУ	ʔ-a-b-'ɨ-d-n-u	1. масд. от гл. абда́ 2. веяние (очищение); дубло абыднукьо до разилъи мне понравилась (твоя) работа (букв. твоё веяние) на току		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	веять	масд. от гл. абда́			
Khwarshi	khva1239	33	41	АБЫ́ДНУ	ʔ-a-b-'ɨ-d-n-u	1. масд. от гл. абда́ 2. веяние (очищение); дубло абыднукьо до разилъи мне понравилась (твоя) работа (букв. твоё веяние) на току		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	веяние	веяние (очищение);			дубло абыднукьо до разилъи мне понравилась (твоя) работа (букв. твоё веяние) на току
Khwarshi	khva1239	34	42	АВАДа́Н//АВАДА́НГО	ʔ-a-w-a-d-'a-n ʔ-a-w-a-d-'a-n-g-o	нареч. весело, жизнерадостно; авадан(го) гIумру бийа жить весело (жизнерадостно); авадан эхъва а) быть (стать) весёлым (жизнерадостным) б) проявить дружеское отношение; авадан ийа делать весёлым (жизнерадостным)		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	весело	нареч. весело, жизнерадостно;			авадан(го) гIумру бийа жить весело (жизнерадостно); авадан эхъва а) быть (стать) весёлым (жизнерадостным) б) проявить дружеское отношение; авадан ийа делать весёлым (жизнерадостным)
Khwarshi	khva1239	35	43	АВАДа́НАБ	ʔ-a-w-a-d-'a-n-a-b	(мн. -тIа) весёлый; жизнерадостный; аваданай гъиIне весёлая (жизнерадостная) женщина; аваданаб абахарба весёлые (жизнерадостные) со­седи; аваданав эхъва стать весёлым (жизнерадостным); иду гьадам цIакъ аваданаб голи эти люди очень весёлые (есть); ср.: аваданав, аваданай, авада­нар; см. йоххидду	(мн. -тIа)	Jacob Lvovski	adjective	Dzhidalaev, Magomedova, Khalilov 2022	весёлый	весёлый;			жизнерадостный; аваданай гъиIне весёлая (жизнерадостная) женщина; аваданаб абахарба весёлые (жизнерадостные) со­седи; аваданав эхъва стать весёлым (жизнерадостным); иду гьадам цIакъ аваданаб голи эти люди очень весёлые (есть); ср.: аваданав, аваданай, авада­нар; см. йоххидду
Khwarshi	khva1239	36	44	АВАДа́НЛЪ/И	ʔ-a-w-a-d-'a-n-ɬ-i	IV (-и́) веселье, жизнерадостность; милло аваданлъикьо до гъуIгъуI йагьи я радуюсь вашей жизнерадостной жизни; арелъе аваданлъихъо! какое веселье!	IV (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	веселье	веселье, жизнерадостность;	IV		милло аваданлъикьо до гъуIгъуI йагьи я радуюсь вашей жизнерадостной жизни; арелъе аваданлъихъо! какое веселье!
Khwarshi	khva1239	37	45	АВАЛ1	ʔ-a-w-a-l	III (-и́) начало; богу авал хорошее начало; авалкьач лихъхъа рукку лечи надо было предупредить в начале же; авали иссе ахир дов (//догу) бечаллу (//беча голлу) погов. по началу видно какой будет конец	III (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	начало	начало;	III		богу авал хорошее начало; авалкьач лихъхъа рукку лечи надо было предупредить в начале же; авали иссе ахир дов (//догу) бечаллу (//беча голлу) погов. по началу видно какой будет конец
Khwarshi	khva1239	38	46	АВАЛ2	ʔ-a-w-a-l	III (-и́, -ба, -за́) 1) квартал (часть сельской общины; часть селения); ило авал наш квартал; илло авалкьа тука гоби в нашем квартале нет магазина; илло авалылI дагIба бечбу в на­шем квартале не было ссор (несогласий) 2) дом; авалхъа соло йулIа обойти дом вокруг; см. уба́	III (-и́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	квартал	квартал (часть сельской общины;	I		часть селения); ило авал наш квартал; илло авалкьа тука гоби в нашем квартале нет магазина; илло авалылI дагIба бечбу в на­шем квартале не было ссор (несогласий)
Khwarshi	khva1239	38	47	АВАЛ2	ʔ-a-w-a-l	III (-и́, -ба, -за́) 1) квартал (часть сельской общины; часть селения); ило авал наш квартал; илло авалкьа тука гоби в нашем квартале нет магазина; илло авалылI дагIба бечбу в на­шем квартале не было ссор (несогласий) 2) дом; авалхъа соло йулIа обойти дом вокруг; см. уба́	III (-и́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	дом	дом;			авалхъа соло йулIа обойти дом вокруг; см. уба́
Khwarshi	khva1239	39	48	АВА́Л-АХИ́Р	ʔ-a-w-'a-l-a-χ-'i-r	III (-и́) начало-конец; авал-ахир гоби нет начала и конца; илъе хабарас дихъо авал-ахирич бохъбу я не понял(а) начало-конец этого разговора	III (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	начало-конец	начало-конец;	III		авал-ахир гоби нет начала и конца; илъе хабарас дихъо авал-ахирич бохъбу я не понял(а) начало-конец этого разговора
Khwarshi	khva1239	40	49	АВа́Р/А1	ʔ-a-w-'a-r-a	III (-а́, -а́ба, -аза́) препятствие, помеха; буIкъкъуI авара большие препятствия (помехи); авара бийа препятствовать; создать помеху (препятствие; цIохутIа аварабан камидбу были небольшие препятствия (помехи); см. кварква́ла	III (-а́, -а́ба, -аза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	препятствие	препятствие, помеха;	III		буIкъкъуI авара большие препятствия (помехи); авара бийа препятствовать; создать помеху (препятствие; цIохутIа аварабан камидбу были небольшие препятствия (помехи); см. кварква́ла
Khwarshi	khva1239	41	50	АВа́Р/А2	ʔ-a-w-'a-r-a	III (-а́, -а́ба, -аза́) авария; авара бийа совершить аварию; ило аваралъыл букки мы попали в аварию	III (-а́, -а́ба, -аза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	авария	авария;	III		авара бийа совершить аварию; ило аваралъыл букки мы попали в аварию
Khwarshi	khva1239	42	51	АВАРа́Г	ʔ-a-w-a-r-'a-g	I (-и́, -ба, -за́) рел. пророк; ило авараг наш пророк; аварагзала заманакьа во времена пророков; Иса авараг пророк Иса (с.гI.с.), Иисус Христос; МухIамтмад авараг (с.гI.с.) пророк Мухаммад	I (-и́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	пророк	рел. пророк;	I		ило авараг наш пророк; аварагзала заманакьа во времена пророков; Иса авараг пророк Иса (с.гI.с.), Иисус Христос; МухIамтмад авараг (с.гI.с.) пророк Мухаммад
Khwarshi	khva1239	43	52	АВАРа́ГЛЪ/И	ʔ-a-w-a-r-'a-g-ɬ-i	IV (-и́) выполнение миссии пророчества; гьечIчIе жогьо аварглъи (с.гI.с.) МухIаммади лӣ последний раз миссию пророчества выполнил пророк Мухаммад	IV (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	выполнение	выполнение миссии пророчества;	IV		гьечIчIе жогьо аварглъи (с.гI.с.) МухIаммади лӣ последний раз миссию пророчества выполнил пророк Мухаммад
Khwarshi	khva1239	44	53	АВАРИСТА́Н	ʔ-a-w-a-r-i-s-tʰ-'a-n	III (-и́) страна (земля) аварцев, Аваристан; Аваристанкьа онду кутакав гьикIо гоби во всем Аваристане (на земле аварцев) нет такого сильного (великого, могучего) человека	III (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	аваристан	страна (земля) аварцев, Аваристан;	III		Аваристанкьа онду кутакав гьикIо гоби во всем Аваристане (на земле аварцев) нет такого сильного (великого, могучего) человека
Khwarshi	khva1239	45	54	АВГУ́СТ	ʔ-a-w-g-'u-s-tʰ	III (-и́) август; август буцу месяц август; августкьо лай нēкъ в августе поспевает черника	III (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	август	август;	III		август буцу месяц август; августкьо лай нēкъ в августе поспевает черника
Khwarshi	khva1239	46	55	АВЕТIУ́Н//АВЕТIУНУ́Ч	ʔ-a-w-e-t’-'u-n ʔ-a-w-e-t’-u-n-'u-tʃʰ	нареч. так; ср.: авна//авнач (хварш.)		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	так	нареч. так;		хваршинский	ср.: авна//авнач (хварш.)
