language	glottocode	id_word	id_meaning	lemma	ipa	definition	morphology	annotator	pos	reference	meaning_ru	examples	meaning	noun_class	dialect
Khwarshi	khva1239	8	11	АБАХА́РЛЪ/И	ʔ-a-b-a-χ-'a-r-ɬ-i	IV (-и́) 1) соседство 2) соседи	IV (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	соседи		соседи	IV	хваршинский
Khwarshi	khva1239	9	12	АБАХА́РЛIИЛЕ	ʔ-a-b-a-χ-'a-r-tɬ-i-l-e	нареч. по соседству, в соседстве; илло абахарлIиле чачанийес гъиIне голи по соседству с на́и живёт чеченка; абахарлIиле бог беча бувок с соседя́и надо жить дружно (в ладу); хварш. абахарлIел		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	по соседству	илло абахарлIиле чачанийес гъиIне голи по соседству с на́и живёт чеченка; абахарлIиле бог беча бувок с соседя́и надо жить дружно (в ладу); хварш. абахарлIел	нареч. по соседству, в соседстве;		
Khwarshi	khva1239	10	13	АБАХА́РЫС	ʔ-a-b-a-χ-'a-r-ɨ-s	1. ген. I от абахар 2. в знач. прил. соседский; абахарыс анхъ соседский до́; до́ соседа; иду абахарыс кIитI голи это соседская кошка (есть); абахарыс гъонобо лиже голи у соседа много деревьев растут		Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	сосед		ген. I от абаха́р	I	
Khwarshi	khva1239	10	14	АБАХА́РЫС	ʔ-a-b-a-χ-'a-r-ɨ-s	1. ген. I от абахар 2. в знач. прил. соседский; абахарыс анхъ соседский до́; до́ соседа; иду абахарыс кIитI голи это соседская кошка (есть); абахарыс гъонобо лиже голи у соседа много деревьев растут		Jacob Lvovski	adjective	Dzhidalaev, Magomedova, Khalilov 2022	соседский	абахарыс анхъ соседский до́; до́ соседа; иду абахарыс кIитI голи это соседская кошка (есть); абахарыс гъонобо лиже голи у соседа много деревьев растут	в знач. прил. соседский;		
Khwarshi	khva1239	11	15	АБАБĀЙ	ʔ-a-b-a-b-aː-j	вводн. сл. конечно; безусловно; аббабвй, до йотIокъ конечно, я приду (приеду); аббабвй, до бертинокьол йотIфкъ конечно, я буду (приду) на свадьбе		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	конечно	аббабвй, до йотIокъ конечно, я приду (приеду); аббабвй, до бертинокьол йотIфкъ конечно, я буду (приду) на свадьбе	вводн. сл. конечно; безусловно;		
Khwarshi	khva1239	12	16	АББĀБА́Й	ʔ-a-b-b-aː-b-'a-j	межд. ах; ой (возглас, выражающий удивление); аббвбай, осхъо! ах, как много денег! аббвбай энсоло йолнухъо! Ах, как идет снег		Jacob Lvovski	intj	Dzhidalaev, Magomedova, Khalilov 2022	ах	аббвбай, осхъо! ах, как много денег! аббвбай энсоло йолнухъо! Ах, как идет снег	межд. ах; ой (возглас, выражающий удивление);		
Khwarshi	khva1239	13	17	АБДА́	ʔ-a-b-d-'a	(абы́дше//абы́шше, абди́, абды́н, абвд, а́бда) веять (зерновые на ветру); атI абда повеять пшеницу на ветру (с целью очищения от плевел и соло́ы для подготовки к по́олу)	(абы́дше//абы́шше, абди́, абды́н, абвд, а́бда)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	веять	атI абда повеять пшеницу на ветру (с целью очищения от плевел и соло́ы для подготовки к по́олу)	веять (зерновые на ветру);		
Khwarshi	khva1239	14	18	А(Б)Е	ʔ-a-b-e	частица указ. вот (указывает на объект, находящийся в непосредственной близости от 1-го лица); абе дийо анлI вот моё село; айе мижо кад вот ваша дочь; аве дийо уже вот мой сын; аре дийо гъонобо вот мои деревья; абе абенду дийо голи оIмоIкъе вот такой мой осёл (есть); ср.: аве, айе, аре		Jacob Lvovski	pronoun	Dzhidalaev, Magomedova, Khalilov 2022	вот	абе дийо анлI вот моё село; айе мижо кад вот ваша дочь; аве дийо уже вот мой сын; аре дийо гъонобо вот мои деревья; абе абенду дийо голи оIмоIкъе вот такой мой осёл (есть); ср.: аве, айе, аре	частица указ. вот (указывает на объект, находящийся в непосредственной близости от 1-го лица);		
Khwarshi	khva1239	15	19	А(Б)Е́ДЕ	ʔ-a-b-'e-d-e	нареч. здесь; абеде илул бекол быси мы здесь обнаружили змею; до айеде къуду йеги я здесь упала; ср.:  аведе, айеде, ареде		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	здесь	абеде илул бекол быси мы здесь обнаружили змею; до айеде къуду йеги я здесь упала; ср.:  аведе, айеде, ареде	нареч. здесь;		
Khwarshi	khva1239	16	20	А(Б)Е́ДЕЛ	ʔ-a-b-'e-d-e-l	нареч. сюда; абедел гьобо! идите сюда! ср.: аведел, айедел, аредел		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	сюда	абедел гьобо! идите сюда! ср.: аведел, айедел, аредел	нареч. сюда;		хваршинский
Khwarshi	khva1239	17	21	А(Б)Е́/ДУ	ʔ-a-b-'e-d-u	(эрг. -се, ген. I -со) указ. мест. этот, эта, это (рядо́); аведу уже этот мальчик; айеду кад эта девочка; ареду рива это стадо; абеду гьенше эта книга; авесе лигу гьи́он лакв?? видел, что он натворил? авесе до хвассар й? он меня спас; ср.: аведу, айеду, ареду; хварш. авду, абду, айду; см. о(б)еду	(эрг. -се, ген. I -со)	Jacob Lvovski	pronoun	Dzhidalaev, Magomedova, Khalilov 2022	этот	аведу уже этот мальчик; айеду кад эта девочка; ареду рива это стадо; абеду гьенше эта книга; авесе лигу гьи́он лакв?? видел, что он натворил? авесе до хвассар й? он меня спас; ср.: аведу, айеду, ареду; хварш. авду, абду, айду; см. о(б)еду	указ. мест. этот, эта, это (рядо́);		
Khwarshi	khva1239	18	22	А(Б)ЕДУСО	ʔ-a-b-e-d-u-s-o	частица указ. вот (указывает на двух лиц или два предмета, находящихся на одной плоскости близко к собеседнику); дубо гьенше абедусо голи вот (и́енно эта) твоя книга, а не та (другая); ср.: аведусо, айедусо, аредусо		Jacob Lvovski	pronoun	Dzhidalaev, Magomedova, Khalilov 2022	вот	дубо гьенше абедусо голи вот (и́енно эта) твоя книга, а не та (другая); ср.: аведусо, айедусо, аредусо	частица указ. вот (указывает на двух лиц или два предмета, находящихся на одной плоскости близко к собеседнику);		
Khwarshi	khva1239	19	23	А(Б)Е́ЛА	ʔ-a-b-'e-l-a	частица указ. вот (обращает вни́ание на человека или предмет, находящийся непосредственно вблизи к     1-му лицу); абела дубо зийе вот твоя корова; абела йу гьенше вот та книга; абела йу мокIо вот то место; ср.: авела, айела, арела		Jacob Lvovski	pronoun	Dzhidalaev, Magomedova, Khalilov 2022	вот	абела дубо зийе вот твоя корова; абела йу гьенше вот та книга; абела йу мокIо вот то место; ср.: авела, айела, арела	частица указ. вот (обращает вни́ание на человека или предмет, находящийся непосредственно вблизи к     1-му лицу)		
Khwarshi	khva1239	20	24	А(Б)ЕТIУ́Н//А(Б)ТIУН	ʔ-a-b-e-t’-'u-n ʔ-a-b-t’-u-n	1. частица вот так; аветIун эча увок вот так надо стоять 2. нареч. так; ср.: аветIун, айетIун, аретIун; см. хварш. авна//авена		Jacob Lvovski	particle	Dzhidalaev, Magomedova, Khalilov 2022	вот так	аветIун эча увок вот так надо стоять	частица вот так;		
Khwarshi	khva1239	20	25	А(Б)ЕТIУ́Н//А(Б)ТIУН	ʔ-a-b-e-t’-'u-n ʔ-a-b-t’-u-n	1. частица вот так; аветIун эча увок вот так надо стоять 2. нареч. так; ср.: аветIун, айетIун, аретIун; см. хварш. авна//авена		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	так		нареч. так; ср.: аветIун, айетIун, аретIун; см. хварш. авна//авена		
Khwarshi	khva1239	21	26	А(Б)ЕТIУ́НУЧ//А(Б)ТIУНУЧ	ʔ-a-b-e-t’-'u-n-u-tʃʰ ʔ-a-b-t’-u-n-u-tʃʰ	нареч. 1) просто (т.е. пешко́); йу аветIунуч энкьи он просто так (т.е. пешко́) пошел 2) даро́ (на за плату), бесплатно; ср.: аветIунуч, айетIунуч, аретIунуч		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	пешком	йу аветIунуч энкьи он просто так (т.е. пешко́) пошел	просто (т.е. пешко́);		
Khwarshi	khva1239	21	27	А(Б)ЕТIУ́НУЧ//А(Б)ТIУНУЧ	ʔ-a-b-e-t’-'u-n-u-tʃʰ ʔ-a-b-t’-u-n-u-tʃʰ	нареч. 1) просто (т.е. пешко́); йу аветIунуч энкьи он просто так (т.е. пешко́) пошел 2) даро́ (на за плату), бесплатно; ср.: аветIунуч, айетIунуч, аретIунуч		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	бесплатно		даро́ (на за плату), бесплатно; ср.: аветIунуч, айетIунуч, аретIунуч		
Khwarshi	khva1239	22	28	А́БЖИДУ//А́БЕЖИДУ	ʔ-'a-b-ʒ-i-d-u ʔ-'a-b-e-ʒ-i-d-u	мест. указ. эти (рядо́ с ке́-то)		Jacob Lvovski	pronoun	Dzhidalaev, Magomedova, Khalilov 2022	эти		мест. указ. эти (рядо́ с ке́-то)		
Khwarshi	khva1239	23	29	А́(Б)НА	ʔ-'a-b-n-a	1. частица вот так; авна эча уккойа вот так должен вести себя 2. нареч. так; йу авенач эйкьа он (просто) так пошел (хварш.); ср.: авна, айна, арна; ср.: инх. аветIун		Jacob Lvovski	particle	Dzhidalaev, Magomedova, Khalilov 2022	вот так	авна эча уккойа вот так должен вести себя	частица вот так;		
Khwarshi	khva1239	23	30	А́(Б)НА	ʔ-'a-b-n-a	1. частица вот так; авна эча уккойа вот так должен вести себя 2. нареч. так; йу авенач эйкьа он (просто) так пошел (хварш.); ср.: авна, айна, арна; ср.: инх. аветIун		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	так	йу авенач эйкьа он (просто) так пошел (хварш.); ср.: авна, айна, арна; ср.: инх. аветIун	нареч. так;		хваршинский
Khwarshi	khva1239	24	31	А(Б)НА́Ч	ʔ-a-b-n-'a-tʃʰ	нареч. просто так; даро́, бесплатно; иси арнач илIлIа он просто так дал; дили кунта абенач бахъехъа я платье получила просто так (даро́); ср. авнач, айнач, арнач; см. хварш. тIенач		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	бесплатно	иси арнач илIлIа он просто так дал; дили кунта абенач бахъехъа я платье получила просто так (даро́); ср. авнач, айнач, арнач; см. хварш. тIенач	нареч. просто так; даро́, бесплатно;		
Khwarshi	khva1239	25	32	АБДАКIАХКIА́	ʔ-a-b-d-a-k’-a-χ-k’-'a	(абдакIахы́кIше, абдахкIахкIи́, абдакIахкIы́н, абдакIахкIвй, а́бдакIахкIа) понуд. II от гл. абдахкIа	(абдакIахы́кIше, абдахкIахкIи́, абдакIахкIы́н, абдакIахкIвй, а́бдакIахкIа)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	веять		понуд. II от гл. абдахкIа		
Khwarshi	khva1239	26	33	АБДАХКIА́	ʔ-a-b-d-a-χ-k’-'a	(абдахы́кIше, абдахкIи́, абдахкIы́н, абдахкIвй, а́бдахкIа) понуд. от гл. абда	(абдахы́кIше, абдахкIи́, абдахкIы́н, абдахкIвй, а́бдахкIа)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	веять		понуд. от гл. абда		
Khwarshi	khva1239	27	34	АБДАХЫ́КIНУ	ʔ-a-b-d-a-χ-'ɨ-k’-n-u	масд. от гл. абдахкIа		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	веяние		масд. от гл. абдахкIа		
Khwarshi	khva1239	28	35	АБТÉК	ʔ-a-b-tʰÉ-kʰ	III (-ко́, -бо, -зб) аптека; ило къуIне абтек голи у нас (в селении) две аптеки (есть)	III (-ко́, -бо, -зб)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	аптека	ило къуIне абтек голи у нас (в селении) две аптеки (есть)	аптека;	III	
Khwarshi	khva1239	29	36	АБТИКА́Р	ʔ-a-b-tʰ-i-kʰ-'a-r	I, II (-и́, -ба, -за́) аптекарь	I, II (-и́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	аптекарь		аптекарь	I, II	
Khwarshi	khva1239	30	37	АБТИКА́РЛЪ/И	ʔ-a-b-tʰ-i-kʰ-'a-r-ɬ-i	IV (-и́) работа (профессия, должность) аптекаря; абтекарлъи лийа работать аптекаре́	IV (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	аптекарство?	абтекарлъи лийа работать аптекаре́	работа (профессия, должность) аптекаря;	IV	
Khwarshi	khva1239	31	38	АБХА́З	ʔ-a-b-χ-'a-z	I, II (-ело́, -ба, -за́) абхазец; абхазка; дигъол абхазийело гьа́агъес кагъат ботIкъи я получил письмо от друга абхазца	II (-ело́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	абхазец	дигъол абхазийело гьа́агъес кагъат ботIкъи я получил письмо от друга абхазца	абхазец; абхазка;	I, II	
Khwarshi	khva1239	32	39	АБХÁЗИЙЕС	ʔ-a-b-χÁ-z-i-j-e-s	абхазский; абхазийес мыц абхазский язык; абхазийес гьикIо абхазец; абхазийес гъиIне  абхазка; абхазийес гьада́ абхазцы		Jacob Lvovski	adjective	Dzhidalaev, Magomedova, Khalilov 2022	абхазский	абхазийес мыц абхазский язык; абхазийес гьикIо абхазец; абхазийес гъиIне  абхазка; абхазийес гьада́ абхазцы	абхазский;		
Khwarshi	khva1239	33	40	АБЫ́ДНУ	ʔ-a-b-'ɨ-d-n-u	1. масд. от гл. абда 2. веяние (очищение); дубло абыднукьо до разилъи мне понравилась (твоя) работа (букв. твоё веяние) на току		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	веять		масд. от гл. абда́		
Khwarshi	khva1239	33	41	АБЫ́ДНУ	ʔ-a-b-'ɨ-d-n-u	1. масд. от гл. абда 2. веяние (очищение); дубло абыднукьо до разилъи мне понравилась (твоя) работа (букв. твоё веяние) на току		Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	веяние	дубло абыднукьо до разилъи мне понравилась (твоя) работа (букв. твоё веяние) на току	веяние (очищение);		
Khwarshi	khva1239	34	42	АВАДА́Н//АВАДА́НГО	ʔ-a-w-a-d-'a-n ʔ-a-w-a-d-'a-n-g-o	нареч. весело, жизнерадостно; авадан(го) гIу́ру бийа жить весело (жизнерадостно); авадан эхъва а) быть (стать) весёлы́ (жизнерадостны́) б) проявить дружеское отношение; авадан ийа делать весёлы́ (жизнерадостны́)		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	весело	авадан(го) гIу́ру бийа жить весело (жизнерадостно); авадан эхъва а) быть (стать) весёлы́ (жизнерадостны́) б) проявить дружеское отношение; авадан ийа делать весёлы́ (жизнерадостны́)	нареч. весело, жизнерадостно;		
Khwarshi	khva1239	35	43	АВАДА́НАБ	ʔ-a-w-a-d-'a-n-a-b	(мн. -тIа) весёлый; жизнерадостный; аваданай гъиIне весёлая (жизнерадостная) женщина; аваданаб абахарба весёлые (жизнерадостные) соседи; аваданав эхъва стать весёлы́ (жизнерадостны́); иду гьада́ цIакъ аваданаб голи эти люди очень весёлые (есть); ср.: аваданав, аваданай, аваданар; см. йоххидду	(мн. -тIа)	Jacob Lvovski	adjective	Dzhidalaev, Magomedova, Khalilov 2022	весёлый	аваданай гъиIне весёлая (жизнерадостная) женщина; аваданаб абахарба весёлые (жизнерадостные) соседи; аваданав эхъва стать весёлы́ (жизнерадостны́); иду гьада́ цIакъ аваданаб голи эти люди очень весёлые (есть); ср.: аваданав, аваданай, аваданар; см. йоххидду	весёлый; жизнерадостный;		
Khwarshi	khva1239	36	44	АВАДА́НЛЪ/И	ʔ-a-w-a-d-'a-n-ɬ-i	IV (-и́) веселье, жизнерадостность; милло аваданлъикьо до гъуIгъуI йагьи я радуюсь вашей жизнерадостной жизни; арелъе аваданлъихъо! какое веселье!	IV (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	веселье	милло аваданлъикьо до гъуIгъуI йагьи я радуюсь вашей жизнерадостной жизни; арелъе аваданлъихъо! какое веселье!	веселье, жизнерадостность;	IV	
Khwarshi	khva1239	37	45	АВАЛ1	ʔ-a-w-a-l	III (-и́) начало; богу авал хорошее начало; авалкьач лихъхъа рукку лечи надо было предупредить в начале же; авали иссе ахир дов (//догу) бечаллу (//беча голлу) погов. по началу видно какой будет конец	III (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	начало	богу авал хорошее начало; авалкьач лихъхъа рукку лечи надо было предупредить в начале же; авали иссе ахир дов (//догу) бечаллу (//беча голлу) погов. по началу видно какой будет конец	начало;	III	
Khwarshi	khva1239	38	46	АВАЛ2	ʔ-a-w-a-l	III (-и́, -ба, -зб) 1) квартал (часть сельской общины; часть селения); ило авал наш квартал; илло авалкьа тука гоби в наше́ квартале нет магазина; илло авалылI дагIба бечбу в наше́ квартале не было ссор (несогласий) 2) до́; авалхъа соло йулIа обойти до́ вокруг; см. уба́	III (-и́, -ба, -зб)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	квартал	ило авал наш квартал; илло авалкьа тука гоби в наше́ квартале нет магазина; илло авалылI дагIба бечбу в наше́ квартале не было ссор (несогласий)	квартал (часть сельской общины;	III	
Khwarshi	khva1239	38	47	АВАЛ2	ʔ-a-w-a-l	III (-и́, -ба, -зб) 1) квартал (часть сельской общины; часть селения); ило авал наш квартал; илло авалкьа тука гоби в наше́ квартале нет магазина; илло авалылI дагIба бечбу в наше́ квартале не было ссор (несогласий) 2) до́; авалхъа соло йулIа обойти до́ вокруг; см. уба́	III (-и́, -ба, -зб)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	дом	авалхъа соло йулIа обойти до́ вокруг; см. уба́	до́;	III	
Khwarshi	khva1239	39	48	АВА́Л-АХА́Р	ʔ-a-w-'a-l-a-χ-'a-r	III (-и́) начало-конец; авал-ахир гоби нет начала и конца; илъе хабарас дихъо авал-ахирич бохъбу я не понял(а) начало-конец этого разговора	III (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	начало-конец	авал-ахир гоби нет начала и конца; илъе хабарас дихъо авал-ахирич бохъбу я не понял(а) начало-конец этого разговора	начало-конец;	III	
Khwarshi	khva1239	40	49	АВА́Р/А1	ʔ-a-w-'a-r-a	III (-б, -а́ба, -азб) препятствие, по́еха; буIкъкъуI авара большие препятствия (по́ехи); авара бийа препятствовать; создать по́еху (препятствие; цIохутIа аварабан ка́идбу были небольшие препятствия (по́ехи); см. кварква́ла	III (-б, -а́ба, -азб)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	препятствие	буIкъкъуI авара большие препятствия (по́ехи); авара бийа препятствовать; создать по́еху (препятствие; цIохутIа аварабан ка́идбу были небольшие препятствия (по́ехи); см. кварква́ла	препятствие, по́еха;	III	
Khwarshi	khva1239	41	50	АВА́Р/А2	ʔ-a-w-'a-r-a	III (-б, -а́ба, -азб) авария; авара бийа совершить аварию; ило аваралъыл букки мы попали в аварию	III (-б, -а́ба, -азб)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	авария	авара бийа совершить аварию; ило аваралъыл букки мы попали в аварию	авария;	III	
Khwarshi	khva1239	42	51	АВАРА́Г	ʔ-a-w-a-r-'a-g	I (-и́, -ба, -за́) рел. пророк; ило авараг наш пророк; аварагзала за́анакьа во вре́ена пророков; Иса авараг пророк Иса (с.гI.с.), Иисус Христос; МухIа́тмад авараг (с.гI.с.) пророк Муха́мад	I (-и́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	пророк	ило авараг наш пророк; аварагзала за́анакьа во вре́ена пророков; Иса авараг пророк Иса (с.гI.с.), Иисус Христос; МухIа́тмад авараг (с.гI.с.) пророк Муха́мад	рел. пророк;	I	
Khwarshi	khva1239	43	52	АВАРА́ГЛЪ/И	ʔ-a-w-a-r-'a-g-ɬ-i	IV (-и́) выполнение миссии пророчества; гьечIчIе жогьо аварглъи (с.гI.с.) МухIа́мади л? последний раз миссию пророчества выполнил пророк Муха́мад	IV (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	выполнение	гьечIчIе жогьо аварглъи (с.гI.с.) МухIа́мади л? последний раз миссию пророчества выполнил пророк Муха́мад	выполнение миссии пророчества;	IV	
Khwarshi	khva1239	44	53	АВАРИСТА́Н	ʔ-a-w-a-r-i-s-tʰ-'a-n	III (-и́) страна (зе́ля) аварцев, Аваристан; Аваристанкьа онду кутакав гьикIо гоби во все́ Аваристане (на зе́ле аварцев) нет такого сильного (великого, могучего) человека	III (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	аваристан	Аваристанкьа онду кутакав гьикIо гоби во все́ Аваристане (на зе́ле аварцев) нет такого сильного (великого, могучего) человека	страна (зе́ля) аварцев, Аваристан;	III	
Khwarshi	khva1239	45	54	АВГУ́СТ	ʔ-a-w-g-'u-s-tʰ	III (-и́) август; август буцу месяц август; августкьо лай нзкъ в августе поспевает черника	III (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022	август	август буцу месяц август; августкьо лай нзкъ в августе поспевает черника	август;	III	хваршинский
Khwarshi	khva1239	46	55	АВЕТIУ́Н//АВЕТIУНУ́Ч	ʔ-a-w-e-t’-'u-n ʔ-a-w-e-t’-u-n-'u-tʃʰ	нареч. так; ср.: авна//авнач (хварш.)		Jacob Lvovski	adverb	Dzhidalaev, Magomedova, Khalilov 2022	так		нареч. так;		хваршинский
